property_id,deal_type,exit_strategy_hint,property_type,address,city,state,zip,county,beds,baths,sqft,year_built,condition,occupancy,purchase_price,arv,est_repairs,entry_fee,interest_rate,term_months,estimated_monthly_payment,mao_70_rule,days_on_market,latitude,longitude,source
1,Subto,Fix & Flip,Single Family,6952 Magnolia Blvd,Raleigh,NC,61750,Wake,4,1.0,3150,1974,Medium Rehab,Vacant,795154.0,1076754.0,303434.0,11202.0,6.0,360,5551.01,450294.0,29,34.142587,-120.241628,synthetic
2,Hybrid,Wholesale,Single Family,864 Pine Ln,Sacramento,CA,17747,Sacramento,5,1.5,2599,1996,Medium Rehab,Vacant,344961.0,487065.0,72413.0,13474.0,6.67,240,2859.29,268533.0,14,46.819081,-116.409342,synthetic
3,Cash,STR,Condo,1129 Mason Blvd,Charleston,SC,25439,Charleston,4,2.5,3132,1988,Light Rehab,Vacant,582686.0,816415.0,111704.0,582686.0,0.0,0,0.0,459786.0,8,36.457628,-103.144248,synthetic
4,Subto,LTR,Manufactured,9512 Magnum Way,Greenville,AL,66045,County,4,2.0,1737,1995,Turnkey,Tenant-Occupied,226715.0,302119.0,5708.0,18215.0,5.56,180,1971.98,205775.0,19,33.888426,-97.8317,synthetic
5,Seller Finance,Wholesale,Single Family,1372 Sikes Cir,Fairview,AL,68829,County,3,4.0,1892,2020,Turnkey,Owner-Occupied,349695.0,570318.0,95140.0,12371.0,7.88,180,3629.96,304083.0,9,25.034245,-118.741046,synthetic
6,Land Deal,MTR,Multi-Family,9570 Lake Ln,Greenville,MS,75100,County,4,2.0,3401,1989,Medium Rehab,Vacant,802308.0,907163.0,135989.0,28175.0,5.59,300,5682.94,499025.0,16,30.64289,-68.996653,synthetic
7,Cash,Fix & Flip,Single Family,4157 River Ct,Madison,VA,55482,County,1,2.0,2311,1982,Medium Rehab,Vacant,202905.0,308339.0,79242.0,202905.0,0.0,0,0.0,136595.0,11,28.285027,-104.418418,synthetic
8,Cash,MTR,Single Family,5979 River Blvd,Franklin,MO,20561,County,3,2.0,2064,1958,Medium Rehab,Tenant-Occupied,210940.0,303417.0,20177.0,210940.0,0.0,0,0.0,192215.0,10,43.597609,-78.60573,synthetic
9,Hybrid,LTR,Single Family,9379 Sikes Dr,Fort Worth,TX,29830,Tarrant,3,2.0,967,2018,Turnkey,Vacant,250124.0,290655.0,36768.0,21261.0,6.73,300,2013.02,166691.0,28,42.213814,-115.612588,synthetic
10,Lease Purchase,N/A,Single Family,6637 River Ave,Greenville,MS,90949,County,4,3.0,1589,1972,Medium Rehab,Owner-Occupied,253041.0,303228.0,12993.0,15847.0,8.3,360,2177.04,199266.0,30,43.252363,-123.592833,synthetic
11,Cash,STR,Single Family,8892 Oak Cir,Nashville,TN,18158,Davidson,3,4.0,1681,1932,Turnkey,Owner-Occupied,154329.0,208693.0,46082.0,154329.0,0.0,0,0.0,100002.0,51,28.075548,-110.865452,synthetic
12,Subto,LTR,Single Family,7971 Union Ln,Springfield,OK,37256,County,4,1.5,2560,1965,Turnkey,Tenant-Occupied,307614.0,409496.0,41006.0,16832.0,6.58,360,2363.67,245642.0,0,37.783475,-78.573773,synthetic
13,Seller Finance,LTR,Condo,8753 Magnum Ave,Los Angeles,CA,54909,Los Angeles,4,2.0,3162,1974,Heavy Rehab,Vacant,744730.0,1223081.0,245259.0,21367.0,6.68,180,7377.86,610898.0,0,25.197196,-103.387851,synthetic
14,Seller Finance,Wholesale,Townhouse,4023 River Blvd,Fairview,MS,77947,County,3,1.5,1903,1985,Light Rehab,Vacant,357451.0,511032.0,41284.0,12706.0,5.53,240,2874.58,316439.0,50,48.821385,-110.228634,synthetic
15,Seller Finance,Fix & Flip,Townhouse,6075 Magnolia Blvd,Jacksonville,FL,56604,Duval,4,4.0,2355,2002,Medium Rehab,Vacant,616340.0,722412.0,53806.0,20691.0,6.34,300,4470.46,451882.0,2,46.857123,-122.264962,synthetic
